"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","545","312","54.50000000000001","31.2"
"scientific reasoning","122","94","49","77.04918032786885","40.16393442622951"
"textbook question answering","158","108","64","68.35443037974683","40.50632911392405"
"numeric commonsense","144","39","24","27.083333333333332","16.666666666666664"
"arithmetic reasoning","353","102","105","28.89518413597734","29.745042492917843"
"visual question answering","179","92","53","51.39664804469274","29.608938547486037"
"geometry reasoning","239","212","67","88.70292887029288","28.03347280334728"
"algebraic reasoning","281","240","86","85.40925266903915","30.604982206405694"
"geometry problem solving","208","203","61","97.59615384615384","29.326923076923077"
"math word problem","186","25","61","13.440860215053762","32.795698924731184"
"logical reasoning","37","24","6","64.86486486486487","16.216216216216218"
"figure question answering","269","117","73","43.49442379182156","27.137546468401485"
"statistical reasoning","301","108","92","35.880398671096344","30.564784053156146"
